    8    1          22124                 N(1700)+
    9   -1          42112                 N(1710)0
    9    1          42212                 N(1710)+
   10   -1          31214                 N(1720)0
   10    1          32124                 N(1720)+
   11   -1          41214                 N(1900)0
   11    1          42124                 N(1900)+
   12   -1          12118                 N(1990)0
   12    1          12218                 N(1990)+
   13   -1          52114                 N(2090)0
   13    1          52214                 N(2090)+
   14   -1           1218                 N(2190)0
   14    1           2128                 N(2190)+
   15   -1      100002110                 N(2220)0
   15    1      100002210                 N(2220)+
   16   -1      100012110                 N(2250)0
   16    1      100012210                 N(2250)+
   17   -1              0                 N(2600)0
   17    1              0                 N(2600)+
   18   -1              0                 N(1875)0
   18    1              0                 N(1875)+
   19   -1              0                 N(2700)0
   19    1              0                 N(2700)+
   20   -1              0                 N(3100)0
   20    1              0                 N(3100)+
   21   -1              0                 N(3500)0
   21    1              0                 N(3500)+
   22   -1              0                 N(3800)0
   22    1              0                 N(3800)+
   23   -1              0                 N(4100)0
   23    1              0                 N(4100)+
   24   -3           1114                   delta-
   24   -1           2114                   delta0
   24    1           2214                   delta+
   24    3           2224                  delta++
   25   -3          31114             delta(1600)-
   25   -1          32114             delta(1600)0
   25    1          32214             delta(1600)+
   25    3          32224            delta(1600)++
   26   -3           1112             delta(1620)-
   26   -1           1212             delta(1620)0
   26    1           2122             delta(1620)+
   26    3           2222            delta(1620)++
   27   -3          11114             delta(1700)-
   27   -1          12114             delta(1700)0
   27    1          12214             delta(1700)+
   27    3          12224            delta(1700)++
   28   -3          11112             delta(1900)-
   28   -1          11212             delta(1900)0
   28    1          12122             delta(1900)+
   28    3          12222            delta(1900)++
   29   -3           1116             delta(1905)-
   29   -1           1216             delta(1905)0
   29    1           2126             delta(1905)+
   29    3           2226            delta(1905)++
   30   -3          21112             delta(1910)-
   30   -1          21212             delta(1910)0
   30    1          22122             delta(1910)+
   30    3          22222            delta(1910)++
   31   -3          21114             delta(1920)-
   31   -1          22114             delta(1920)0
   31    1          22214             delta(1920)+
   31    3          22224            delta(1920)++
   32   -3          11116             delta(1930)-
   32   -1          11216             delta(1930)0
   32    1          12126             delta(1930)+
   32    3          12226            delta(1930)++
   33   -3           1118             delta(1950)-
   33   -1           2118             delta(1950)0
   33    1           2218             delta(1950)+
   33    3           2228            delta(1950)++
   34   -3              0             delta(2420)-
   34   -1              0             delta(2420)0
   34    1              0             delta(2420)+
   34    3              0            delta(2420)++
   35   -3              0             delta(2750)-
   35   -1              0             delta(2750)0
   35    1              0             delta(2750)+
   35    3              0            delta(2750)++
   36   -3              0             delta(2950)-
   36   -1              0             delta(2950)0
   36    1              0             delta(2950)+
   36    3              0            delta(2950)++
   37   -3              0             delta(3300)-
   37   -1              0             delta(3300)0
   37    1              0             delta(3300)+
   37    3              0            delta(3300)++
   38   -3              0             delta(3500)-
   38   -1              0             delta(3500)0
   38    1              0             delta(3500)+
   38    3              0            delta(3500)++
   39   -3              0             delta(3700)-
   39   -1              0             delta(3700)0
   39    1              0             delta(3700)+
   39    3              0            delta(3700)++
   40   -3              0             delta(3700)-
   40   -1              0             delta(3700)0
   40    1              0             delta(3700)+
   40    3              0            delta(3700)++
   41    0           3122                   lambda
   42    0          13122             lambda(1405)
   43    0           3124             lambda(1520)
   44    0          23122             lambda(1600)
   45    0          33122             lambda(1670)
   46    0          13124             lambda(1690)
   47    0          43122             lambda(1800)
   48    0          53122             lambda(1810)
   49    0           3126             lambda(1820)
   50    0          13126             lambda(1830)
   51    0          23124             lambda(1890)
   52    0           3128             lambda(2100)
   53    0          23126             lambda(2110)
   54   -2           3112                   sigma-
   54    0           3212                   sigma0
   54    2           3222                   sigma+
   55   -2           3114             sigma(1385)-
   55    0           3214             sigma(1385)0
   55    2           3224             sigma(1385)+
   56   -2          13112             sigma(1660)-
   56    0          13212             sigma(1660)0
   56    2          13222             sigma(1660)+
   57   -2          13114             sigma(1670)-
   57    0          13214             sigma(1670)0
   57    2          13224             sigma(1670)+
   58   -2          23112             sigma(1750)-
   58    0          23212             sigma(1750)0
   58    2          23222             sigma(1750)+
   59   -2           3116             sigma(1775)-
